Fondo,SAFM,Moneda,Valor Cuota,Mes,Status,Variación Anual 2023,Últimos 12 Meses
BBVA Perú Soles,BBVA Asset Management,S/,"146,51",,"0,60%","0,60%","7,02%"
BBVA Soles Monetario,BBVA Asset Management,S/,"188,81",,"0,84%","0,84%","8,16%"
BBVA Tesoreria Soles,BBVA Asset Management,S/,"120,14",,"0,58%","0,58%","7,18%"
Credicorp Capital Conservador Corto Plazo Soles,Credicorp Capital,S/,"146,63",,"0,74%","0,74%","7,88%"
Credicorp Capital Conservador Liquidez Soles,Credicorp Capital,S/,"320,12",,"0,55%","0,55%","7,25%"
Diviso Conservador Soles,Diviso Fondos,S/,"157,40",,"0,48%","0,48%","7,73%"
Sura Corto Plazo Soles FMIV,Fondos Sura,S/,"180,82",,"0,88%","0,88%","7,21%"
Sura Ultra Cash Soles FMIV,Fondos Sura,S/,"155,59",,"0,57%","0,57%","7,43%"
SF Liquidez S/.,Scotia Fondos,S/,"10,85",,"0,51%","0,51","6,86%"
De Deuda (Mediano Plazo),,,,,,,
BBVA Soles,BBVA Asset Management,S/,"353,61",,"0,81%","0,81%","11,13%"
Credicorp Capital Conservador Mediano Plazo Soles,Credicorp Capital,S/,"195,92",,"1,27%","1,27%","10,65%"
Sura Renta Soles FMIV,Fondos Sura,S/,"213,17",,"1,11%","1,11%","8,94%"
IF Mediano Plazo Soles,Interfondos,S/,"206,20",,"0,89%","0,89%","10,13%"
De Deuda (Duración Flexible),,,,,,,
Sura Deuda Soberana Soles,Fondos Sura,S/,"110,56",,"2,22%","2,22%",-
Sura Plazo Definido S/ II,Fondos Sura,S/,"105,60",,"0,66%","0,66%",-
Sura Plazo Definido S/ III,Scotia Fondos,S/,"102,62",,"0,63%","0,63%",-
IF Libre Disponibilidad Soles SERIE A,Interfondos,S/,"131,02",,"0,49%","0,49%",6.47%
IF Libre Disponibilidad Soles SERIE B,Interfondos,S/,"131,58",,"0,51%","0,51%",6.62%
FONDOS MUTUOS DE,,,,,,,
DEUDA EN DÓLA,RES,,,,,,
,SAFM,Moneda,Valor Cuo,ta,Mes,VariaciónAnual 2023,Últimos12 Meses
De Deuda (Corto Plazo),,,Mes,,,,
BBVA Cash Dólares,BBVA Asset Management,US$,"117,27",,"0,41%","0,41%","4,57%"
BBVA Dólares Monetario,BBVA Asset Management,US$,"171,36",,"0,44%","0,44%","4,75%"
Credicorp Capital Conservador Corto Plazo Dólares,Credicorp Capital,US$,"119,79",,"0,42%","0,42%","5,15%"
Credicorp Capital Conservador Liquidez Dólares,Credicorp Capital,US$,"180,75",,"0,43%","0,43%","4,98%"
Diviso Conservador Dólares,Diviso Fondos,US$,"123,61",,"0,26%","0,26%","5,31%"
FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE A,Faro Capital,US$,"102,34",,"0,45%","0,45%","1,02%"
FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE B,Faro Capital,US$,"106,08",,"0,43%","0,43%","4,66%"
Sura Corto Plazo Dólares FMIV,Fondos Sura,US$,"131,85",,"0,40%","0,40%","4,96%"
Sura Ultra Cash Dólares FMIV,Fondos Sura,US$,"118,90",,"0,44%","0,44%","4,98%"
SF Liquidez US$,Scotia Fondos,US$,"10,51",,"0,41%","0,41%","4,63%"
De Deuda (Mediano Plazo),,,,,,,
BBVA Dólares,BBVA Asset Management,US$,"197,12",,"0,34%","0,34%","5,27%"
BCP Conservador Mediano Plazo Dólares,Credicorp Capital,US$,"256,50",,"0,39%","0,39%","5,43%"
Sura Renta Dólares FMIV,Fondos Sura,US$,"176,48",,"0,32%","0,32%","3,68%"
IF Mediano Plazo,Interfondos,US$,"109,51",,"0,08x%","0,08%","2,99%"
De Deuda (Duración Flexible),,,,,,,
BBVA DISTRIBUTIVO $ FMIV,BBVA Asset Management,US$,"101,17",,"0,32%","0,32%",-
BBVA Super $ 10,BBVA Asset Management,US$,"103,66",,"0,44%","0,44%",-
BBVA Super $ 11,BBVA Asset Management,US$,"102,59",,"0,37%","0,37%",-
BBVA Super $ 12,BBVA Asset Management,US$,"101,86",,"0,40%","0,40%",-
BBVA Super $ 13,BBVA Asset Management,US$,"100,65",,"0,33%","0,33%",-
BBVA Super $ 8,BBVA Asset Management,US$,"105,32",,"0,47%","0,47%",-
BBVA Super $ 9,BBVA Asset Management,US$,"104,50",,"0,43%","0,43%",-
Renta En Dólares 3Y VI,Credicorp Capital,US$,"100,81",,"0,27%","0,27%",-
Renta En Dólares 4Y VI,Credicorp Capital,US$,"105,33",,"0,33%","0,33%","4,92%"
CC Renta Optimizad II,Credicorp Capital,US$,"103,30",,"0,46%","0,46%",-
CC Renta Optimizad IV,Credicorp Capital,US$,"102,91",,"0,45%","0,45%",-
CC Renta Optimizad VI,Credicorp Capital,US$,"102,59",,"0,37%","0,37%",-
CC Renta Optimizad Inst II,Credicorp Capital,US$,"102,41",,"0,43%","0,43%",-
Deuda Corporativa Latam High Yield,Credicorp Capital,US$,"114,23",,"0,37%","0,37%","4,90%"
Sura Plazo Definido US I,Fondos Sura,US$,"104,16",,"0,40%","0,40%",-
Sura Plazo Definido US II,Fondos Sura,US$,"100,85",,"0,31%","0,31%",-
IF Cupón Latam,Interfondos,US$,"45,17",,"-0,17%","-0,17%","3,30%"
IF Libre Disponibilidad $,Interfondos,US$,"114,06",,"0,41%","0,41%","4,45%"
